coGN_ReadoutComponent1_Feature62_fold0,coGN_ReadoutComponent2_Feature1_fold0,coGN_ReadoutComponent5_Feature7_fold0,coGN_ReadoutComponent1_Feature73_fold0,coGN_ReadoutComponent1_Feature117_fold0,coGN_ReadoutComponent1_Feature71_fold0,coGN_ReadoutComponent1_Feature3_fold0,coGN_ReadoutComponent2_Feature47_fold0,coGN_ReadoutComponent4_Feature62_fold0,coGN_ReadoutComponent3_Feature47_fold0,target
1.2270716,-2.3374884,,-1.3317733,-0.2358465,0.8997943,-1.0844429,0.6145073,-0.06938761,4.530136,2.74
-0.36690098,-2.0483403,,0.59150904,-1.9558086,-2.105393,-0.7777676,-0.23899993,-0.3494749,-0.7606952,0.78
-0.29386783,-0.09732466,-0.54835886,-1.8560579,1.28602,-0.7720162,-0.5696421,-0.38703665,0.06936294,-1.4460676,1.24
-1.1013681,-1.607749,0.44981992,-1.0164909,-0.932762,0.39384046,-0.94986063,0.46955827,0.4801233,1.4275612,1.76
5.574637,0.40796077,-0.35895416,-3.3114533,5.4316807,1.2281717,0.32021898,-0.71854573,-0.27827975,0.15572414,1.5
2.0458903,-1.3839271,,6.615962,-2.2023966,-0.89410436,-1.9533843,0.31431106,,1.536483,2.06
0.15349004,-0.68486965,,-1.5920848,-0.2376739,-1.4041486,-1.1034675,-0.9991659,-0.20356748,-0.6533104,1.06
3.366324,-0.9965333,,-2.0321186,0.5026905,0.24347647,-0.24795687,-1.3560342,0.0024243519,0.3220703,1.7
1.5781436,0.21413025,-0.27806062,0.5543254,-2.835244,-1.9571509,-1.0704129,-2.48592,-0.8238261,-0.44354224,0.46
-1.434098,-0.18005016,,3.8027859,-1.1005604,-0.55645466,-0.79277426,-0.6723894,-0.14673239,-0.124514,1.08
2.8559532,-1.1871027,-0.45457545,-0.35561547,-1.51721,-1.0503001,-0.85344243,-1.4591748,-0.25755405,-0.50893,1.28
-0.16358887,-2.6012251,-0.40149975,-0.28984505,-1.1029242,-1.1195334,-1.2770493,1.9079542,-0.018281452,0.6025481,1.76
-0.31283236,-2.9755237,-0.24316388,-0.67835444,-0.79199517,-1.4557651,-0.9085259,0.24979651,2.2168217,1.6917909,1.68
-0.7704911,-1.6222008,,-0.4871806,-1.2920891,-1.4191948,-1.6307238,-0.01721719,-0.34969342,0.59469885,0.82
-1.6210076,0.9148016,-0.03299901,-1.8596574,0.841247,-0.1948433,-0.9711852,-1.4663101,-0.0746564,-0.093077295,1.16
4.476317,0.17918462,-0.37934422,-0.38950017,1.7664849,0.29398406,-0.00019543618,-1.706105,0.020010132,-1.5216683,1.18
3.806068,0.7193217,-0.43593395,-1.0099896,1.368148,-0.6064781,-0.93526626,-1.1412504,-0.3450218,-1.6127865,1.24
-0.41261783,0.09554261,,-1.4106829,-0.24222808,-0.7014792,-1.1344603,-1.4903129,-0.2772926,-0.6078837,0.32
5.009457,0.4205233,,5.4207706,-0.85252213,-0.7324425,-0.87420857,-0.7422638,-1.0626401,-0.14928512,0.6
2.7228289,-2.5914376,0.19689183,-1.5182956,0.036233913,-0.43497008,-0.469767,1.5439668,4.7323747,3.3008752,2.3
2.7002642,0.44295233,,-0.022323772,-0.0014766864,-0.41562116,-0.72128785,-1.1396109,-0.20421584,-0.5030589,0.66
4.563523,-0.9109388,-0.3890713,-1.4724181,1.4101205,-0.75080246,-0.6678949,-1.1945914,0.4922722,-1.3875587,2.0
-1.7366427,0.1641713,-0.053592384,1.0305406,-1.2641382,-0.5714424,-0.7133756,-1.857056,-0.07213387,0.039685447,0.62
0.033548012,0.1935607,-0.23104388,0.34108278,-1.4944108,-2.012457,-1.3474184,-1.6582882,-0.35303217,-1.394382,0.98
1.181463,-1.2971045,-0.36981913,-1.9513199,1.0985184,-0.25779995,-0.20928699,-0.0048911273,-0.9980205,-0.46996936,1.3
1.235387,0.58436173,-0.4409719,-0.80716074,-0.38687786,-1.7293149,-0.22394627,-1.253087,-0.9523595,-0.3900236,0.58
-0.7687476,0.12250054,,0.41455042,-1.811627,-2.2058692,-0.87457085,-1.7467339,-0.3790011,0.52919626,1.18
3.0241787,0.8648114,-0.3797787,-1.9875573,0.84928805,-0.9028495,-1.12101,-1.2790861,-0.20627943,-0.13832828,1.34
0.31799144,0.9519356,-0.47221395,-0.33437705,-1.03846,-1.6804305,-0.8046384,-1.045266,-0.88074636,-0.5957191,0.76
3.170516,-2.4579751,-0.40987188,0.06161689,-1.0400127,-0.9978521,-0.3802092,-0.45119175,-0.18907802,-0.3690631,1.16
7.1530046,-1.5247123,-0.2312899,-0.44061658,2.3389926,0.24927373,-0.08691915,-0.80379206,-0.13450259,-0.2582315,1.28
7.17889,0.38902485,,-2.3784184,5.9685855,1.2527437,0.14107817,-1.2210344,-0.072115585,-0.43214154,1.4
13.776212,-1.3512594,-0.20241019,-1.9537936,5.3432455,2.295824,3.47941,-1.5901793,3.425507,1.0280727,2.96
-0.48418185,0.435767,-0.32349277,-1.3917954,0.14377932,-1.53001,-0.9034989,-0.8203417,-0.27915463,-1.6067594,0.72
2.697495,0.1812033,-0.3694727,-0.029349573,-0.23023674,-0.38845173,-0.5886239,-1.8502893,-0.35410672,-0.3229317,0.6
-0.48874426,-0.461825,,0.59283745,-2.8047292,-1.9459399,-1.3153682,0.49993506,,-0.1423743,0.68
-0.40877664,0.4907896,-0.33876383,-0.9486104,-1.1539153,0.22296381,-0.83784926,-1.2872422,-0.6681558,-0.08074009,0.7
2.447715,-2.3932152,,-0.040270075,-0.2815218,-0.4842374,-0.56734514,2.6097777,2.4219751,5.041463,2.84
-0.42771628,0.23662002,-0.5063017,0.6056675,-2.1553698,-2.0658603,-0.75532305,-1.6753715,-0.28009778,1.2390938,1.18
1.184098,-0.44699204,-0.22747174,1.8296987,-3.447741,-2.1213994,-1.2567598,-1.2007406,-0.28340343,-1.6244689,0.56
-1.645012,-0.44192168,-0.21190864,-1.8879755,0.38294664,-1.484564,-1.1499519,-0.7968438,-0.34703597,-1.6521838,0.92
-1.3067913,0.9153154,,-0.8910122,-0.5239933,-1.6915898,-1.2070109,-1.1780907,-0.67715013,0.08237408,0.98
5.003241,-3.4991357,-0.6350591,-1.9941067,0.77442783,0.9764599,0.3529145,-0.1252014,3.3705454,4.553432,3.2
1.6766084,-0.3371647,-0.3562803,-3.8817096,2.0768766,0.4360504,-1.316745,0.25101125,0.12384851,-1.5541997,1.48
1.3512022,-2.213335,-0.4907056,2.2467754,-1.5808523,-2.0165029,-0.95113444,0.13802436,-0.30499744,-1.6736503,1.36
-0.98611736,-2.4327009,,0.18430778,-1.4641562,-2.2167187,-1.1643405,0.93959457,-0.38704228,0.7474412,1.78
-1.5198185,0.67615354,-0.14886662,-1.5271279,0.671786,-1.1418933,-1.4501216,-2.273437,-0.17219473,-0.0944706,0.84
-0.5921526,0.83345115,-0.3386001,-0.77778214,-1.4668057,-1.0155051,-1.2373406,-1.2245759,-0.4282679,-0.5719042,0.36
-1.2950791,0.35756743,-0.070203096,-0.18313436,-0.48677602,-0.056057632,-0.71383655,-0.7756922,-0.16248383,0.12767962,0.64
-1.6529049,-1.51802,,0.20414233,0.61539394,-1.2821356,-1.5000055,-0.8187865,-0.3446563,-0.10644457,1.44
-0.65519756,0.4277838,-0.24876386,-0.7311442,-1.4623011,-0.93217933,-1.3376566,-0.48297596,-0.56326205,0.038017582,0.0
-1.1296463,-2.772819,-0.30403697,-1.1962719,-1.0388796,0.15126832,-0.9087122,0.19180667,-0.33655444,-0.3163448,1.24
1.0683346,0.4257432,,-1.0331148,-0.98168534,0.30990487,-0.732135,-0.20060883,-0.59628206,0.13788947,1.36
3.0872803,-1.3452705,-0.6096355,-0.07703978,-2.1173599,-1.7559508,-1.5952426,-1.013963,0.84702533,3.6487613,1.9
1.5440632,-4.442919,-0.32132602,0.37874097,1.5850184,0.26565313,-0.7625658,1.3206799,-0.096286364,-0.38877684,1.54
0.66161937,0.32039553,-0.22889225,-1.5556638,1.057572,-0.9764867,-0.27143854,-1.7391938,-0.8757807,-0.48422235,0.86
0.65026844,-2.8889654,,7.239322,-1.0673772,-0.8472202,-1.201348,-0.2274423,-0.77982384,2.201794,1.48
-0.8158056,-0.9941586,-0.28966433,0.2606181,0.924628,-1.1320581,-1.4788433,-1.4916697,-0.068327725,-0.14867744,1.1
11.884698,-3.2508779,-0.22226252,-1.88865,4.8998756,2.5149314,2.693745,-0.4149052,4.1330953,3.2011473,3.34
4.113981,-1.7158134,-0.38791537,-0.21122666,2.169065,1.2315133,-0.7007041,-0.953372,-0.07725172,-0.38522914,1.08
8.81883,-1.2740356,,-1.2094362,-0.17369202,0.89930415,1.6662636,0.10620517,4.2884336,6.6921015,3.74
-0.1854924,0.5895014,,0.10530244,-1.4653436,-2.1731546,-1.2761585,-1.2413014,-0.9846525,-0.16238324,0.82
4.569831,-0.290093,,-2.9659877,2.7758837,0.14817265,0.053610787,-1.0456628,,-0.09237176,2.3
8.536442,-2.9846122,-0.4723422,-2.004503,9.293489,1.2462301,4.9412603,-0.7846364,3.0282416,2.9064283,3.2
5.31885,-1.3026712,,-5.8723164,6.717154,1.3319875,0.8284465,0.46488422,-0.013805203,-0.63036466,1.9
8.166197,-1.3041259,-0.31574732,-3.1402948,5.608479,0.8185729,2.671956,-1.6532068,1.0587239,3.7627122,2.98
0.78627944,-3.1861556,-0.53047377,-1.0490972,-0.4975534,-1.4252273,-0.7325199,0.7552106,-0.19410293,-0.50891435,1.38
0.5190121,0.3764808,-0.37071216,-0.46750468,-1.5253794,-0.412848,-1.0787009,-0.8019997,-0.32906085,0.1282025,0.42
-1.42353,0.78652847,-0.45109114,-2.7271955,1.304007,-0.22643787,-0.775823,-2.8042727,-0.31203678,-1.6830311,1.0
5.3651614,0.017957777,-0.14951876,-0.40210837,2.6180744,0.22610903,0.16784918,-2.3356295,-0.9292633,-0.29049543,1.06
-0.94349134,-1.3259473,-0.16560143,-0.700934,-1.0886205,-1.6914213,-1.5846549,1.1704818,-0.28628734,2.064851,1.6
-0.40480387,-0.022582851,,-0.69635427,0.8810668,-1.4964917,-0.6354337,0.45659027,-0.25925854,2.4064302,2.04
-1.004699,0.7294874,-0.18560013,-0.66123533,1.2191738,-1.3059822,-1.5748495,-0.6215547,-0.1006891,-0.1356501,0.96
-0.16532075,-4.255634,,-1.4124155,0.37139222,-0.8917312,-1.1582738,1.4943656,-0.29221785,3.1531959,2.22
-1.2026528,-2.8689365,,0.13427359,-0.4539716,-1.4940016,-0.23891723,0.21497291,,2.7157178,1.9
-1.8716428,0.8928408,,-0.88512707,0.13879731,-1.6470532,-1.0632755,-0.40505272,0.07273241,0.5036277,1.12
9.816103,-0.21968296,-0.34307504,-2.0257635,12.119325,0.3276397,5.7666574,-2.0145175,2.353891,1.1856811,2.8
1.9550353,-0.066590875,,-1.3955808,-0.17546529,-1.1572546,-0.5588041,-2.5324295,-0.22506881,-0.54879004,0.62
8.780211,0.74335307,-0.21926686,-2.026863,11.086422,0.11341652,5.659541,-2.2472532,-0.33131975,-0.43682292,1.86
1.4886186,-1.1896856,,-0.8354482,-0.4595979,-1.5995162,-0.98790187,-1.1147534,-0.2066082,1.3687712,1.72
-0.77798325,-0.882697,,1.428968,1.2650394,0.25275207,-0.9077352,-1.5098047,-0.64174396,0.7732975,1.32
1.4651433,0.37730575,-0.32136157,-1.2263759,1.8067503,-1.1821554,-0.4629802,-1.511399,-0.32718408,-0.16690423,0.76
-1.204896,0.16729225,,0.195664,-1.1654327,-2.0178378,-1.0670614,-1.0109432,-0.05993983,1.2922912,1.44
-0.14817521,-2.477838,,-0.02446483,0.7800695,0.09664852,-0.39920408,2.5004668,0.16550875,0.89929044,2.32
-0.9263937,-1.4295543,,4.479221,-0.9445478,-0.1163705,-0.44972405,-1.1093348,-0.112562686,-0.06519771,1.16
3.9763126,-3.2264652,,0.66832405,-0.6928533,-0.28730807,0.60743886,1.6346256,4.473405,6.340765,3.6
4.3660383,-2.5217576,,-1.116765,-0.8306539,-0.9887276,-0.8762868,-0.0017180592,-0.9266906,-0.1698392,1.44
-1.798311,0.15579224,0.31758845,-3.0203853,1.3383845,0.21572876,-0.35089463,-1.5203432,-0.06815111,-1.5666494,0.56
1.7598138,-1.2643738,,0.49303567,-1.7613559,-1.6091,-0.68694365,1.2375798,,2.3645806,2.38
-0.08099023,-1.9129372,-0.48826608,-0.6098883,-0.69862473,-1.6081775,-0.8845866,0.052429333,-0.56646806,-0.58796906,1.08
-1.9510213,-1.4937224,,1.669392,0.53851086,-1.220747,-1.5235614,0.29335558,-0.4015593,0.08618433,1.48
2.5704317,-0.27551353,,-0.50352013,0.15235992,0.33988336,-0.5917113,-0.4193575,,0.010899983,1.02
-0.49721605,-0.66373676,,-0.44741717,-0.96478057,-1.7910368,-1.15313,-0.49540156,-0.077796966,-0.5406532,0.42
4.341348,-2.448856,-0.13033706,1.4918853,1.0951014,1.1842027,-0.69008726,0.071352765,0.29219377,-1.5133512,1.64
7.986709,-0.68471855,-0.42161,-1.9243141,8.80063,-0.019013196,4.623788,-1.2209435,2.284908,1.2237494,2.58
2.2273986,0.45489696,-0.26358137,3.8490393,-1.0884625,-0.94062555,-1.3390262,-2.2601967,-0.21536385,-1.5882328,0.62
0.037127793,-2.6378784,-0.03800817,0.66346574,-1.0238569,-1.2259085,-1.3031125,1.9536451,-0.4254879,1.2532616,1.7
2.1387625,-2.4538126,,0.27261505,-1.9218923,-0.99724746,-1.7027112,1.9516232,2.5320358,5.5805674,2.8
4.7022347,-1.2977753,-0.14340718,-4.178898,3.3737032,0.44005528,0.8714025,0.19908923,-1.0407329,-0.25903228,1.54
0.98316365,-2.1588225,-0.23918462,2.0244799,0.8151624,1.1035899,-0.1331279,-0.4990646,0.14876984,0.062300112,1.62
3.5683124,0.219105,-0.4248436,-1.4224558,-0.31384754,-0.8964874,-0.3522264,-1.9469812,-0.27338487,-0.13983679,1.0
1.2393193,-1.3560156,,-3.131186,1.4017802,1.0554979,-0.7575095,-0.7517016,-0.7414349,-0.065267086,1.98
6.4215846,-1.0869318,-0.4428013,-2.1467829,3.8619921,1.285243,0.1313498,-0.60450673,-0.36832005,-1.7735128,1.96
3.5444207,-2.7398353,-0.3563459,2.3513777,-1.9022021,-1.7713413,-1.5413558,0.28647155,-0.18461743,-0.38958797,1.3
0.37697867,0.7356679,,-2.0046482,0.4965603,-0.72757274,-1.288764,-1.382934,-0.25044882,-0.7058718,1.04
-1.0638489,0.033885628,,-1.9923266,0.4500085,-0.8212831,-0.81778455,-1.5307568,-0.32116303,-0.6622358,1.3
8.058436,0.49444395,,3.202141,1.7138674,1.0310185,-0.06605738,-0.33258772,,0.47614664,2.18
-1.934393,-1.1213509,-0.3112905,-1.6405528,0.38864642,-1.280342,-1.5212414,-0.19166219,-0.12902807,-1.6824658,1.06
2.8610938,0.8910837,-0.4347926,-0.81922495,-0.53522587,-1.2694975,-0.31305307,-1.0192769,0.23127875,1.15324,1.7
0.6727149,-0.47710305,,9.147097,-3.53882,-1.9522847,-1.5340341,-0.8611082,-0.027161673,0.044795364,0.7
3.0489385,-1.949148,-0.30847067,-2.1244318,0.5697162,-0.78338665,-0.98508537,-0.22805168,-0.20666665,0.13969165,2.18
0.47779053,-1.2354807,-0.41146684,-0.050774395,-1.1454667,-1.699006,-0.6758982,-0.57890475,-0.21486023,0.14817682,0.94
-1.7557052,-0.39339185,,0.6626511,0.70074874,-1.3531677,-0.92807245,-1.2536902,-0.23677784,-0.01356958,1.0
-0.04638215,0.78875554,,0.35288173,-1.0651333,-1.878841,-0.6390925,-0.34715897,-0.19396335,0.2372146,1.1
0.498534,0.26076514,-0.19029085,0.72723097,-1.4907833,-2.1238816,-0.26894593,-0.8469771,-0.9521693,-0.34152868,0.54
-0.45550543,-1.3769878,0.10587174,-0.7023519,-1.3629373,-0.8065504,-0.7864592,1.2083168,0.34158653,0.26340497,1.38
-0.97754234,0.022058755,-0.36888957,0.36418355,-1.9263384,-1.7411383,-0.8339025,-1.6930075,0.051120546,-1.6421461,0.48
4.1959543,-1.1746316,-0.4627989,-0.7895163,0.9537136,0.102954686,0.48671967,-1.3253572,-0.27477208,-0.39514595,1.9
3.6753612,-1.4509844,,-1.5069962,0.29326805,-0.966885,-0.60530335,0.7430237,,-0.028597891,1.78
-0.7016348,0.41643476,-0.37485912,-0.7200514,-0.69447106,-1.6795117,-0.7929905,-1.1982629,0.7238687,-0.6122312,1.02
3.7234173,0.3551228,,0.17497808,-1.2299523,-1.4647877,-0.35235658,-0.51258606,,2.0466394,1.92
3.1408846,-0.06296331,,-1.2962185,-1.1753109,-1.2232344,-1.6431748,-1.9764999,0.0029567853,-0.22687879,1.02
0.85332566,-2.0082161,-0.42490885,-0.8008812,-0.41605678,-1.459813,-0.93228215,-0.5894593,-0.3038783,-0.4423878,1.14
0.96360123,0.22060718,-0.46389088,-0.7001353,-0.78604877,-1.6774313,-0.27186722,-2.4574199,-0.8952969,-0.4789668,0.56
1.4196739,0.16581455,,-5.310964,5.3339057,1.1582828,0.2803098,-1.5600885,0.07538682,-0.02816921,1.5
1.7957777,-1.8033363,-0.47845793,-0.5314115,-1.3492438,-0.5153487,-0.90784895,-0.13191526,-0.36744186,-0.4741571,1.5
0.33481166,-0.279621,1.0323725,0.5428522,-2.1024497,-1.9357631,-0.6128361,-2.660046,1.133694,0.61571425,1.6
0.6844839,0.21596822,-0.5347445,0.4653887,-2.1438348,-1.731672,-0.7032226,-2.5453117,-0.23595244,-0.14433298,0.44
2.4903858,-3.3745394,,0.41300252,-2.0334024,-0.9082033,-0.060856577,0.36068904,2.562108,6.0556235,3.26
0.9756828,0.6558083,,-0.09620178,-0.99338126,-0.49458477,0.23774233,-2.8694808,0.11549137,-0.4478766,0.88
-0.9543251,-1.617167,-0.46570298,-1.0921464,0.49617705,-1.7977139,-0.49194336,-0.5421482,-0.34786713,-0.035377067,1.42
-0.53180856,-1.6618763,,-1.5053434,0.34936312,-0.81175977,-0.93256944,0.48771334,-0.3465703,1.8353456,2.02
6.7668805,-1.3258969,,-0.2913825,-1.4975517,-0.08899806,0.7548928,-0.6668396,1.8308694,5.436141,3.14
2.9019158,-0.9463903,,-2.030091,0.5302958,0.19498554,0.103936285,-1.0394984,0.5261123,3.8372352,2.52
-0.72693646,-0.8758553,,0.47238266,-1.9526759,-1.63975,-0.6660467,-1.4930615,-0.29703647,0.14381045,1.1
2.9464386,-0.8123448,,-0.17732021,-0.27935737,-1.8163775,-0.43149075,0.73039323,2.5711563,4.440023,2.4
0.47262102,-2.7349355,,2.2542644,-2.3967671,-1.3127817,-1.7765477,-0.2930616,-0.18255864,-0.14396065,1.36
7.8340197,-1.0538899,,-5.8473353,8.183161,1.3428656,0.5368764,-1.2097961,-0.13925998,-0.6093755,2.24
3.238645,0.52510375,,-1.4541475,0.16024275,-1.3320919,-1.2050546,0.5978744,,1.3129572,2.22
-1.1238853,-0.040284716,,2.8550873,-1.3848433,0.019837305,-0.85416865,-1.5851363,-0.030793749,0.22277167,1.26
1.5056033,0.21687357,-0.2581867,-1.7947274,1.2489231,-0.72296625,-0.15757973,-2.3140175,-0.3580572,-0.31025186,0.66
-0.29426533,-2.256299,-0.5134659,0.16774416,-2.1343327,-1.8063045,-0.8753462,-0.28361458,-0.24229737,-0.5723931,1.0
1.0020261,0.12571746,-0.45081216,-3.0487747,3.0665362,1.3649265,-0.21365668,-1.3363246,-0.28287545,-1.5587605,1.44
3.1342273,-3.0494833,-0.4352371,-2.8912687,1.171603,0.66662616,-0.37451658,0.059583217,-0.3306363,-0.58914614,1.64
2.872947,0.66939616,,-2.1738544,3.1685765,1.2101544,1.4581249,-2.6906202,-0.24218094,-0.4553703,1.28
0.4652178,-0.71015376,0.26571298,0.5729815,-2.0776737,-1.8538914,-0.80876565,-1.4685061,0.70277274,0.8910819,1.46
2.6311843,-2.9381115,-0.3634706,-1.2049295,0.3069523,-0.6478309,-0.48554155,0.13664563,-1.0087429,-0.6127995,1.78
0.9404203,-0.6744761,,0.1961021,-1.1923445,-0.4455795,0.6445444,2.7282095,0.13345928,5.6591034,2.48
0.054595597,0.25522622,,-0.6347432,-0.89036584,-0.33586925,-0.097103745,2.0116236,,2.8523545,2.16
-1.7944062,-2.1009355,-0.40276024,-0.16365758,0.3406847,-0.518623,-0.92934024,-0.27386373,-0.111097135,-0.18074937,1.78
5.8451385,-3.4159024,,-1.3120717,0.42714924,-0.30771273,1.0324603,3.0566432,,5.7080636,3.9
-1.0771514,0.17911834,,-1.4818722,-0.2516588,-1.6932412,-0.6195872,-1.5649925,-0.41602814,-0.10663598,0.64
-1.9997121,-1.284855,-0.28847045,-1.3042628,0.40818784,-0.766529,-0.7151793,-0.18880269,-0.2610054,-1.6560577,1.1
2.1177452,-1.1091148,,-3.993108,1.4110565,0.85199577,-0.19371516,0.55570334,-0.58304787,0.23556715,1.86
7.471096,0.17956062,-0.05729682,-1.3708918,2.001447,1.2472363,0.17744248,-1.8115339,-0.9581458,-0.24075037,1.4
1.6681923,-2.7112463,-0.1742303,-1.5154818,-0.09741993,-1.2116063,-1.015193,0.010795392,-0.29599044,0.025380947,1.44
-1.1636788,-1.586725,,-1.4097092,0.8758063,-0.9551559,-0.24921116,5.0776763,-0.6055578,4.208565,2.62
-2.2313821,0.77233744,,0.5582975,0.04219581,-0.5219024,-1.0572356,-1.1267296,-0.28613272,-0.1121963,1.14
-1.0508132,0.6384126,-0.24430606,-0.9030601,0.37926945,-1.8063183,-0.44293773,-1.6794971,-0.4021271,-0.46092442,-0.04
5.6018925,-0.7094387,-0.2277875,-5.809784,7.94351,1.370169,1.5536351,-0.4768987,-0.8084974,-0.2355853,1.92
-0.2772141,-1.5872592,,1.6880118,-1.8143458,-2.0267794,-0.6296099,-1.0705212,-0.3485454,-0.68485,0.72
1.7606002,-0.40066046,,-0.9230844,-0.51132125,-1.7788992,-0.92485666,-0.1777014,,-0.15685861,0.9
-0.1858774,-0.13525884,-0.357895,-0.39960748,-1.6279898,-0.30828997,-0.8348776,-1.4563681,-0.30495498,-0.3102761,0.44
-1.7159992,-2.9291744,-0.3499261,-1.8737249,0.6991722,-0.12890379,-0.54451275,0.18832879,-0.40294722,-1.783961,1.52
-0.16914201,-1.8945258,,-0.60821384,-0.99924433,-0.58773965,-0.92010677,0.9466681,0.34744135,1.0464174,2.02
0.9887146,0.075738266,-0.4390108,-1.9705641,0.82581395,-1.2247145,-1.2334644,-1.5499885,-0.32648954,-0.37727812,1.12
-0.68398535,-2.0110161,-0.34848076,-0.7847322,-1.4447699,-0.94552714,-1.3196654,0.8426864,-0.24131793,-0.027523851,0.88
0.77920836,-0.6078181,-0.2546579,1.1239616,0.20371832,0.06328222,-1.1991508,-0.85354006,-0.011237843,-0.18897349,1.2
7.891046,-3.1759603,-0.2520728,-1.4523438,4.0479984,1.8030716,2.7308028,-0.37963426,2.5314238,2.19437,3.44
3.7457657,-1.4678507,-0.40319607,-3.049415,5.2780023,-0.031170636,1.9801881,0.28357917,-0.41109794,-0.38221115,1.36
-0.49487054,0.9361732,-0.3596988,-1.9926461,0.96315634,-1.2875111,-1.0941685,-1.7478156,-1.029345,-0.42726278,0.66
-0.08901038,-1.5904716,-0.20550582,-1.7250454,1.4438319,-0.3849266,0.12789588,-0.5046461,-0.2111817,-0.16142835,1.7
7.281002,-2.2809823,-0.44594514,1.8393385,3.083486,0.40869722,-0.032329902,0.2876927,-0.21700488,-1.8505129,2.02
1.660822,-0.8608955,-0.5461144,3.1167617,-2.0119004,-1.2719961,-1.7013842,-1.4403601,-0.26773152,1.8277333,1.06
-0.81733495,-1.4090124,1.1966482,0.33324504,-1.3709112,-1.5874767,-0.7992672,-0.53353983,-0.12277908,-0.9487578,1.24
12.794045,-0.012752309,-0.39560682,-0.6086351,12.80142,0.5407722,6.855253,-2.3229034,0.85735315,0.08802601,2.46
11.860873,-0.012488574,-0.44792423,-3.3737676,10.503825,1.1468669,4.666514,-0.8506693,-0.6334831,-0.5088694,2.52
7.2518415,-2.7089903,-0.46596578,-3.0437894,4.5302043,0.17451014,1.2667676,1.0614966,-0.93697184,-0.2091625,2.54
4.267639,-3.635917,0.1676144,-1.9038068,1.3784586,0.90019536,-0.3395243,0.15624256,1.7532932,2.5773265,3.08
-1.0683091,-2.8569543,-0.21094736,-1.2639612,0.50963426,0.010341577,-0.33475143,0.08952847,0.1280875,-0.058969557,1.84
1.0561013,-1.9592607,0.8760907,2.3339028,-1.5851446,-0.57853496,-0.4377144,-0.35419783,-0.28989443,-0.06906551,1.26
1.8575081,-0.72685754,-0.18523054,-1.4155725,1.0900713,-1.5584,-1.0106103,-0.61850655,-0.7670986,-0.2578925,0.9
-1.1589172,0.084406875,-0.20294556,-1.5199133,1.1237724,-1.3390422,-1.5281348,-0.8279593,-0.2425176,0.85290974,1.52
0.3473134,-0.703521,,-0.39160657,-0.6393198,-1.4944457,-0.8495969,2.3542235,,2.3641958,2.32
1.1354406,-0.739581,,-0.48415548,-0.043284386,0.051858053,-0.5159632,-1.4798181,-0.31055403,-0.64835805,1.18
0.6794706,-0.07787598,,-0.43583983,-1.3642274,-1.5002931,-1.8106782,-2.0346441,0.94942945,1.5858195,1.26
-1.3193907,-1.383541,0.17622167,0.5558238,-1.5710411,-0.7530746,-0.9882321,0.04588092,-0.0860704,-0.043565214,1.24
-0.71357924,-1.8752354,-0.3026141,-1.0389132,0.79680496,-1.6966099,-1.2893248,-0.0010380931,-0.12172632,-1.2676771,1.46
3.260221,-0.70522356,0.26689845,-1.7260948,2.9216712,1.2873911,-0.6230773,-0.7648082,-0.81711966,-0.317168,1.48
2.1103833,-2.7610908,0.38374215,-4.537855,5.616098,1.1972133,0.043110937,-0.14227435,-0.030597687,-0.016790373,2.18
