# c0 + a0 * (|(feature_8 * feature_1) - (|feature_3 - feature_1|)|) + a1 * ((|feature_25 - feature_11|) + (feature_13 - feature_7)) + a2 * (|(feature_22 + feature_8) - sqrt(feature_14)|) + a3 * ((feature_17 * feature_11) / (feature_15 + feature_11)) + a4 * ((feature_19 / feature_22) + (exp(-1.0 * feature_18))) + a5 * ((feature_22 * feature_12) * (feature_11 + feature_8))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.435796291814397; Max AE: 2.49653139739946
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all , -1.443390569561740e+00,  1.218332312919527e-01,  1.371338631148230e-02,  4.388198969647972e-02,  2.947917963344087e-01,  3.107622686621729e-03,  6.081313300103625e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|0|mult|2|0|abd|abd; (|(feature_8 * feature_1) - (|feature_3 - feature_1|)|); $\left(\left|\left(feature_{8} feature_{1}\right) - \left(\left|feature_{3} - feature_{1}\right|\right)\right|\right)$; abs((feature_8 .* feature_1) - abs(feature_3 - feature_1)); abs((newdata$feature_8 * newdata$feature_1) - abs(newdata$feature_3 - newdata$feature_1)); feature_8,feature_1,feature_3,feature_1
# 1;  2; Unitless;                                         24|10|abd|12|6|sub|add; ((|feature_25 - feature_11|) + (feature_13 - feature_7)); $\left(\left(\left|feature_{25} - feature_{11}\right|\right) + \left(feature_{13} - feature_{7}\right)\right)$; (abs(feature_25 - feature_11) + (feature_13 - feature_7)); (abs(newdata$feature_25 - newdata$feature_11) + (newdata$feature_13 - newdata$feature_7)); feature_25,feature_11,feature_13,feature_7
# 2;  2; Unitless;                                         21|7|add|13|sqrt|abd; (|(feature_22 + feature_8) - sqrt(feature_14)|); $\left(\left|\left(feature_{22} + feature_{8}\right) - \left(\sqrt{ feature_{14} }\right)\right|\right)$; abs((feature_22 + feature_8) - sqrt(feature_14)); abs((newdata$feature_22 + newdata$feature_8) - sqrt(newdata$feature_14)); feature_22,feature_8,feature_14
# 3;  2; Unitless;                                         16|10|mult|14|10|add|div; ((feature_17 * feature_11) / (feature_15 + feature_11)); $\left(\frac{ \left(feature_{17} feature_{11}\right) }{ \left(feature_{15} + feature_{11}\right) } \right)$; ((feature_17 .* feature_11) ./ (feature_15 + feature_11)); ((newdata$feature_17 * newdata$feature_11) / (newdata$feature_15 + newdata$feature_11)); feature_17,feature_11,feature_15,feature_11
# 4;  2; Unitless;                                         18|21|div|17|nexp|add; ((feature_19 / feature_22) + (exp(-1.0 * feature_18))); $\left(\left(\frac{ feature_{19} }{ feature_{22} } \right) + \left(\exp{ \left(-feature_{18} \right) } \right)\right)$; ((feature_19 ./ feature_22) + exp(-1.0 * (feature_18))); ((newdata$feature_19 / newdata$feature_22) + exp(-1.0 * (newdata$feature_18))); feature_19,feature_22,feature_18
# 5;  2; Unitless;                                         21|11|mult|10|7|add|mult; ((feature_22 * feature_12) * (feature_11 + feature_8)); $\left(\left(feature_{22} feature_{12}\right) \left(feature_{11} + feature_{8}\right)\right)$; ((feature_22 .* feature_12) .* (feature_11 + feature_8)); ((newdata$feature_22 * newdata$feature_12) * (newdata$feature_11 + newdata$feature_8)); feature_22,feature_12,feature_11,feature_8
# Number of Samples Per Task
# Task, n_samples               
# all , 1694                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
19          ,  3.440000000000000e+00,  2.804661513480268e+00,  0.000000000000000e+00,  3.256690076100885e+00,  3.668580883227182e+01, -2.280604211932815e+00,  1.076779713206514e+00,  3.473143856168958e+02
20          ,  9.200000000000002e-01,  1.142453128292819e+00,  0.000000000000000e+00,  1.393223953890291e+00,  2.956721976787364e+00, -4.768418080482473e+00,  1.528816409706010e+00,  2.657957451925854e+01
21          ,  5.400000000000000e-01,  9.751990126853447e-01,  0.000000000000000e+00, -1.736688567125498e-01,  6.298011699209354e+00, -1.291944983294063e+00,  1.122201546429058e+00,  8.925330633354951e+00
22          ,  8.400000000000000e-01,  1.199190905544338e+00,  0.000000000000000e+00,  3.680262056808454e-01,  1.605424924695195e+01, -1.265267137756574e+00,  1.134079755206978e+00,  1.521055413623846e+01
23          ,  8.600000000000001e-01,  6.606983338182432e-01,  0.000000000000000e+00, -7.183546197134681e-01,  7.040393520777588e+00, -4.316459778068921e-01,  1.388397518790464e-01,  6.935042915658449e+00
24          ,  7.800000000000002e-01,  2.057760847543889e+00,  0.000000000000000e+00,  9.403148665600012e-01,  1.659947655585535e+01, -2.866901881482881e+00,  1.275962362836904e+00,  2.758040768101823e+02
25          ,  1.220000000000000e+00,  1.460777230768533e+00,  0.000000000000000e+00,  2.377430652355003e+00,  1.271810496572584e+01, -6.118287606449000e-01,  1.459451430759998e+00, -4.761996997059771e+00
26          ,  8.000000000000003e-01,  4.454089189959846e-01,  2.002081435207970e-01, -7.244020911991544e-02,  1.015718713174952e+01, -2.671881256631150e+00,  1.317676010952564e-01,  2.387541683790011e+01
27          ,  1.540000000000000e+00,  1.981489661156043e+00,  0.000000000000000e+00,  1.943574970197365e+00,  2.497272193923408e-01, -2.978479237476537e+00,  2.225443489820440e+00,  1.955838526530812e+02
28          ,  1.940000000000000e+00,  1.564501481053401e+00,  0.000000000000000e+00,  1.677340171046345e-01,  3.488261662295968e+01, -1.519871875181379e+00,  8.053081400907709e-01,  9.231254052083032e+01
29          ,  1.860000000000000e+00,  2.441243877510385e+00,  0.000000000000000e+00,  2.136625330322635e+00,  1.981098196428082e+01, -5.073223480747398e+00,  1.333470465139968e+00,  3.638317876107144e+02
30          ,  1.440000000000000e+00,  1.360408499304403e+00,  0.000000000000000e+00,  4.712471302939796e-01,  1.680359039215130e+01, -2.119627788405221e+00,  1.222433061131124e+00,  6.341816522191171e+01
31          ,  2.280000000000000e+00,  2.013268683378574e+00,  0.000000000000000e+00,  7.388290846435239e-01,  3.037852829802466e+01, -8.459735273538239e+00,  1.140191559691133e+00,  3.004360299496757e+02
32          ,  4.200000000000001e-01,  1.474242252158489e+00,  0.000000000000000e+00,  1.158698192056807e+00,  5.031788422259247e+00, -3.988986266444983e+00,  1.124319855010086e+00,  1.607481196243103e+02
33          ,  1.640000000000000e+00,  1.565202108200067e+00,  0.000000000000000e+00,  1.412654519702157e+00,  3.631412414913555e-01, -1.370957704976880e+00,  1.465293637504828e+00,  1.313500597446790e+02
34          ,  1.360000000000000e+00,  1.902473752083256e+00,  0.000000000000000e+00, -1.215347736750494e+00,  5.959388061047505e+01,  6.522247675953169e+00,  1.137127252622139e+00,  1.207761358407468e+00
36          ,  1.240000000000000e+00,  1.555566793989976e+00,  0.000000000000000e+00,  1.156548008291984e+00,  1.034051925832713e+01, -5.849494036217565e+00,  1.521640988652051e+00,  1.521568581591571e+02
38          ,  9.000000000000001e-01,  1.129851570352186e+00,  0.000000000000000e+00,  4.846984118890068e-01,  1.634368090525142e+01, -3.807364057291390e-01,  2.882107847895367e-01,  5.479621236171975e+01
40          ,  1.620000000000000e+00,  1.864032656531835e+00,  0.000000000000000e+00,  1.596807371000238e+00,  5.363298820967394e+00, -3.234686403048695e+00,  2.027380490582741e+00,  1.712233203709831e+02
41          ,  7.600000000000002e-01,  9.335775268380171e-01,  0.000000000000000e+00, -3.662181811695214e-01,  4.323371525337571e+00, -4.104454889362484e+00,  1.504565384708973e+00,  1.523794771160008e+01
42          ,  1.880000000000000e+00,  1.400911908792930e+00,  0.000000000000000e+00,  9.497081387065074e-01,  2.360556602638027e+00, -3.616526437126088e+00,  1.629667743266589e+00,  1.039350879478638e+02
43          ,  1.380000000000000e+00,  1.020620466613420e+00,  0.000000000000000e+00,  2.000993604634070e+00,  7.856268535035937e+00, -6.695471711476758e+00,  1.153930066433297e+00,  4.700402709469452e+00
44          ,  1.800000000000000e+00,  1.163355401999003e+00,  0.000000000000000e+00,  1.153991233445041e-01,  1.602719820991300e+01,  4.857944358692836e-01,  3.696236092243627e-01,  6.149325335488111e+01
45          ,  1.260000000000000e+00,  1.164696198565178e+00,  0.000000000000000e+00,  8.401159959146013e-01,  1.477189065139067e+01, -5.470641925326714e+00,  1.152149791615756e+00,  4.893017598216911e+01
46          ,  2.799999999999999e-01,  6.978091226913757e-01,  0.000000000000000e+00,  3.331491068014059e-03,  1.873890628407963e+00, -2.659811094752085e+00,  1.076199132631403e-01,  4.780723747713304e+01
47          ,  9.999999999999989e-02,  7.061465873702869e-01,  0.000000000000000e+00,  4.591899518931619e-02,  2.449649138636037e+00, -2.087990113251934e+00,  2.479078311480193e-01,  2.489741722258946e+01
48          ,  8.800000000000001e-01,  1.135171864492858e+00,  0.000000000000000e+00,  2.004337392297318e+00,  1.214658290241868e+00, -5.621919197352544e+00,  1.452383734823074e+00,  2.726802887338577e+01
49          ,  1.040000000000000e+00,  8.590816655329101e-01,  0.000000000000000e+00, -2.722784761713007e-01,  8.847098194059782e+00, -9.604635230275874e-01,  4.783760097547865e-01,  2.057037177409732e+01
51          ,  2.080000000000000e+00,  1.067359603156129e+00,  1.052484952194654e-01,  6.230911113114710e-01,  3.893790135351473e+00, -1.868792103990267e+00,  1.042027911923238e+00,  8.258973772924566e+01
52          ,  1.040000000000000e+00,  1.314050398525308e+00,  0.000000000000000e+00,  7.312104073279584e-01,  1.222350466739747e+01, -4.213805040944952e+00,  1.266149773833982e+00,  8.394432326275403e+01
53          ,  7.600000000000002e-01,  7.016521426515344e-01,  0.000000000000000e+00,  8.023794857857780e-01,  5.706105361657094e-01, -7.667209159990301e+00,  1.339811231928676e-01,  9.167624597885212e+01
54          ,  1.280000000000000e+00,  1.773358449961587e+00,  0.000000000000000e+00,  1.241690077427622e+00,  7.341414099483288e+00, -3.731333090243528e+00,  1.327219108499482e+00,  2.206694448411469e+02
55          ,  7.200000000000000e-01,  9.653066536107339e-01,  0.000000000000000e+00,  4.903422160443797e-01,  1.212098806427698e+01, -1.026706626808356e+00,  2.832787498025810e-01,  2.984958041370683e+01
56          ,  4.799999999999998e-01,  8.118837230600228e-01,  8.561691670843963e-02,  2.583908365129726e-01,  2.458461836373488e+01, -1.121993223487878e+01,  2.133690833208342e-01,  1.249075638344172e+02
58          ,  6.799999999999999e-01,  9.180764800603556e-01,  0.000000000000000e+00,  2.296936669662825e-01,  1.121252162887895e+01, -4.506992911667424e+00,  2.954636143343256e-01,  7.686736092277293e+01
59          ,  9.200000000000002e-01,  1.389294745739368e+00,  0.000000000000000e+00,  6.942890001037332e-01,  1.277972860970906e+01, -2.528653209924516e+00,  1.327732499714793e+00,  7.751271559235008e+01
60          ,  1.160000000000000e+00,  1.799794245284462e+00,  0.000000000000000e+00,  1.399113841147862e+00,  7.094018864975190e+00, -3.103151006356535e+00,  1.234393300491190e+00,  2.240313017777748e+02
61          ,  1.700000000000000e+00,  1.842277484371704e+00,  0.000000000000000e+00,  1.647547184773872e+00,  4.866611011957708e+00, -1.803238687013199e+00,  1.976740192240501e+00,  1.490159508810618e+02
62          ,  1.820000000000000e+00,  2.245636908327607e+00,  0.000000000000000e+00,  1.782558579265370e+00,  4.331510365540396e+00, -1.781542347945410e+00,  2.769547738045220e+00,  2.003681800200587e+02
63          ,  1.860000000000000e+00,  1.523376421713768e+00,  0.000000000000000e+00,  1.340356378571341e+00,  4.447853328815274e+00, -1.346369716322894e+00,  2.183831738554405e+00,  3.419196076815807e+01
64          ,  1.520000000000000e+00,  9.749689659211753e-01,  0.000000000000000e+00, -3.284606002658048e-01,  9.824041651269841e+00, -1.815299125254205e+00,  1.077500604968076e+00,  1.099064331614411e+01
66          ,  1.680000000000000e+00,  1.428374986460569e+00,  0.000000000000000e+00,  1.257698933717472e+00,  1.606285454417257e+00, -1.339041250852010e+00,  1.421164848801649e+00,  9.164515863961564e+01
67          ,  4.000000000000000e-01,  6.639828787522603e-01,  0.000000000000000e+00,  5.030386048748174e-01,  1.949232217489850e+00, -7.537356235349341e+00,  6.040322103965741e-01,  3.878353844779206e+01
68          ,  1.800000000000000e+00,  2.150601208285611e+00,  0.000000000000000e+00,  2.022332587542978e+00,  1.077188777687912e+00, -1.845459700028227e+00,  2.488613626476672e+00,  2.022994050938107e+02
69          ,  1.600000000000000e-01,  8.062154248922929e-01,  0.000000000000000e+00, -3.043776524247104e-01,  4.217063423946822e+00, -6.203385865496480e+00,  1.357888591089819e+00,  1.585124404998913e+01
70          ,  9.800000000000000e-01,  8.844813727338920e-01,  0.000000000000000e+00,  5.323926008059996e-01,  1.737977680997677e+00, -2.294681779196731e+00,  3.190191041040447e-01,  6.252508091642393e+01
71          , -3.200000000000000e-01,  2.907155567605892e-01,  9.920161159748224e-01,  3.281019828842311e-01,  6.929722389137360e+00, -2.869966978752247e+00,  1.131887429704439e+00,  2.483300126949323e+02
72          ,  1.200000000000000e+00,  1.103370782707190e+00,  0.000000000000000e+00,  3.044899395224346e-01,  6.187168368465670e+00, -4.897581814945079e+00,  1.737888586458245e+00,  2.442245202247008e+01
73          ,  1.660000000000000e+00,  1.642466044568765e+00,  0.000000000000000e+00,  1.441760870533915e+00,  1.255261629146163e+01, -9.061146467664129e+00,  1.321907177797360e+00,  2.234747480503801e+02
74          ,  1.080000000000000e+00,  9.562136180927191e-01,  0.000000000000000e+00,  1.856746979841941e-01,  1.002691672323302e+01, -4.078237203142518e-02,  2.993685663099112e-01,  3.266039077288679e+01
75          ,  1.240000000000000e+00,  1.447249452280652e+00,  0.000000000000000e+00,  1.257633850935403e+00,  7.807008659121792e+00, -3.285859843847290e+00,  1.225200258318558e+00,  1.164385512757014e+02
76          ,  9.800000000000000e-01,  7.522166843974203e-01,  0.000000000000000e+00,  2.830151955366255e-01,  1.765623585867793e+00, -2.592229999275118e+00,  2.026633695340468e-01,  4.485767601695211e+01
77          ,  7.400000000000001e-01,  1.004358224723689e+00,  0.000000000000000e+00,  2.176156088044463e-01,  3.882201382273383e+00, -3.943738981767354e+00,  1.152165883637587e+00,  4.823172971257482e+01
78          ,  1.040000000000000e+00,  1.354479043293418e+00,  0.000000000000000e+00,  5.559039654720339e-01,  1.913699978035474e+00, -1.152439372842643e+00,  1.562699640563501e+00,  7.796220865343810e+01
79          ,  1.280000000000000e+00,  1.282104214893668e+00,  0.000000000000000e+00,  1.273981581508866e+00,  7.242523614757584e+00, -4.056483101994498e+00,  1.361951562534011e+00,  6.305606883739001e+01
80          ,  8.800000000000001e-01,  1.576680193299421e+00,  0.000000000000000e+00,  1.291446382073343e+00,  9.948829916478704e+00, -1.386861244414411e+00,  1.302685063431903e+00,  1.131453287341773e+02
81          ,  1.460000000000000e+00,  9.646653614107686e-01,  0.000000000000000e+00,  7.670677756791944e-02,  5.804260281487682e+00, -5.239569552054882e+00,  1.096629520216108e+00,  5.606790200251321e+01
82          ,  1.380000000000000e+00,  1.134564686252570e+00,  0.000000000000000e+00,  5.804777677980100e-01,  1.123646099281908e+01, -4.908622057764532e-01,  4.611588679764390e-01,  6.024415502748303e+01
83          ,  1.440000000000000e+00,  1.304024628945361e+00,  0.000000000000000e+00,  6.547428445134541e-01,  2.928604545101406e+01, -2.406876716294798e+00,  1.075869229065177e+00,  9.570416441369793e-01
84          ,  1.440000000000000e+00,  1.576673532722016e+00,  0.000000000000000e+00,  1.721051877795388e+00,  4.585087830782943e+00, -1.121101789552254e+01,  1.220648948466242e+00,  2.664764579221438e+02
85          ,  1.420000000000000e+00,  1.418025063675748e+00,  0.000000000000000e+00, -1.717708718532471e-01,  2.978101048020226e+01,  7.307256328895829e-02,  1.395424932322249e+00,  2.528054863021088e+00
86          ,  1.600000000000000e-01,  1.127393891383134e+00,  0.000000000000000e+00,  4.630254295810133e-01,  3.819969298748696e+00, -3.985213817587902e+00,  1.267309384837181e+00,  6.813976000061895e+01
87          ,  2.140000000000000e+00,  2.020697064206778e+00,  0.000000000000000e+00,  1.536204921561369e+00,  6.282008319690139e+00, -5.301393078464289e+00,  2.292581240935457e+00,  2.239843514339394e+02
88          ,  2.200000000000000e+00,  1.917159166280796e+00,  0.000000000000000e+00,  1.948367498315432e+00,  1.733287869706924e+00, -2.145458745859669e+00,  2.584683341072459e+00,  1.223077168299999e+02
89          ,  3.720000000000000e+00,  3.240442039529579e+00,  0.000000000000000e+00,  1.933261872416731e+00,  5.275054413803911e+01, -2.385566937655561e+00,  1.169743615158422e+00,  4.612011577688014e+02
90          ,  1.620000000000000e+00,  1.226609160741317e+00,  0.000000000000000e+00,  5.485672208400318e-01,  1.886910589460738e+01, -1.133735630518055e+01,  1.023387449763348e-01,  2.446313410331191e+02
91          ,  2.220000000000000e+00,  2.339222267994344e+00,  2.000000000000000e-01,  9.641080983181853e-01,  4.213273102775297e+01, -2.266168456219689e+00,  1.651801814019402e+00,  3.015271419400914e+02
92          ,  2.460000000000000e+00,  2.363948276813351e+00,  0.000000000000000e+00,  1.811538877366515e+00,  3.149458567014107e+01, -3.987977786901825e+00,  1.160071241843894e+00,  3.012704247120326e+02
93          ,  5.199999999999999e-01,  6.645602391056081e-01,  0.000000000000000e+00, -2.236991664168951e-01,  5.018137481216502e+00, -7.818463351087273e-01,  1.224484099481872e-01,  4.208821644899762e+00
94          ,  1.160000000000000e+00,  1.399859828188547e+00,  0.000000000000000e+00,  1.020416404719251e+00,  2.049825083683537e+01, -4.309232797685865e-01,  1.247521005426949e+00,  1.205366752599981e+01
95          ,  3.420000000000000e+00,  3.790830245635886e+00,  2.000000000000000e-01,  3.184595954713136e+00,  2.665461259986381e+01, -9.996630784378252e-01,  2.949030268249424e+00,  6.089477005313063e+02
96          ,  8.400000000000000e-01,  1.081683709406247e+00,  2.355978215725010e-02,  6.521831662125277e-01,  1.291983963390910e+01, -1.717980136461216e+00,  2.496031795735053e-01,  8.132693532075545e+01
97          ,  2.620000000000001e+00,  2.897303379130711e+00,  0.000000000000000e+00,  3.301501718068975e+00,  2.647180608753757e+00, -4.637365491724247e+00,  1.504438543696212e+00,  5.182863116740225e+02
99          ,  8.800000000000001e-01,  7.346827189501829e-01,  0.000000000000000e+00,  1.021119028691625e+00,  1.946625336407337e+00, -3.180260609543438e+00,  2.194348541884750e-01,  1.619208843173741e+01
101         ,  6.000000000000000e-01,  1.132246529509547e+00,  0.000000000000000e+00,  1.317750964191317e+00,  2.698986642704657e+00, -3.772609883555008e+00,  3.518365866371131e-01,  1.249791956188287e+02
102         ,  1.799999999999999e-01,  5.489832955579262e-01,  0.000000000000000e+00, -7.991500980843502e-02,  5.711248029276430e+00, -5.902565418154054e+00,  1.486372183167407e-01,  2.814595270015570e+01
103         ,  4.999999999999999e-01,  1.164260699982445e+00,  0.000000000000000e+00,  1.054596176536026e+00,  1.761940141481475e+00, -6.345876248050131e+00,  1.132807742169701e+00,  1.119857930865392e+02
105         ,  1.180000000000000e+00,  1.556240764600054e+00,  0.000000000000000e+00,  1.157198167837560e+00,  4.313590529714801e+00, -3.422565360023194e+00,  1.198042999925792e+00,  1.753707235468511e+02
106         ,  1.300000000000000e+00,  1.603270917515524e+00,  0.000000000000000e+00,  1.233609644525090e+00,  8.979362262820402e+00, -2.369459684861017e+00,  1.247096951122328e+00,  1.473956706017206e+02
107         ,  1.380000000000000e+00,  1.074964843570830e+00,  0.000000000000000e+00,  1.514818969986959e+00,  2.142378992833606e+00, -2.840761681831577e+00,  5.450922240278699e-01,  6.978598552748583e+01
108         ,  2.620000000000001e+00,  2.056920643199063e+00,  0.000000000000000e+00,  6.040497080567184e-01,  2.278827424072317e+01, -3.221471121129936e+00,  6.462018424848888e-01,  3.261532174828444e+02
109         ,  1.260000000000000e+00,  1.260584309265032e+00,  0.000000000000000e+00,  1.470141929060715e+00,  7.304231025507441e+00, -3.834308726574937e+00,  1.380904794845134e+00,  4.323330093778607e+01
110         ,  1.040000000000000e+00,  8.148064845285049e-01,  0.000000000000000e+00, -3.971459533058318e-01,  1.259806488302008e+01, -6.846747074817348e-01,  1.711365130561144e-01,  1.991678314401819e+01
112         ,  8.800000000000001e-01,  1.223372831114639e+00,  0.000000000000000e+00,  2.532376867854274e-01,  4.003042109463291e+00, -2.905674718286838e+00,  1.599491046282146e+00,  5.968659665907299e+01
113         ,  2.460000000000000e+00,  1.687393356828996e+00,  0.000000000000000e+00,  1.059469215246096e+00,  4.945916401203760e+00, -4.053026145631697e+00,  1.179414885152026e+00,  2.292849864331833e+02
114         ,  2.560000000000000e+00,  2.132944721299734e+00,  2.000000000000000e-01,  1.862313709030428e+00,  5.329223522167176e+00, -1.716982649052502e+00,  1.830957841459071e+00,  3.375929052733458e+02
115         ,  2.140000000000000e+00,  1.915392969566664e+00,  0.000000000000000e+00,  2.127265491536497e+00,  1.552661625033629e+01, -2.724221599668746e+00,  1.874707656089539e+00,  1.293797192669206e+02
